Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
160	AK090661	adaptor-related protein complex 2, alpha 1 subunit	NM_130787, NM_014203	NP_570603.2, NP_055018.2	ENSG00000196961	chr19:54996893 - 54997650	AP-2 adaptor complex;clathrin coat of trans-Golgi network vesicle;coated pit;endocytosis;Golgi to endosome transport;intracellular protein transport;protein complex assembly;structural molecule activity	EGFR1
166	AK095154	amino-terminal enhancer of split	NM_198969, NM_198970, NM_001130	NP_945320.1, NP_945321.1, NP_001121.2	ENSG00000104964	chr19:3007329 - 3007665	multicellular organismal development;negative regulation of transcription;nucleus;organ morphogenesis;protein binding;regulation of growth;regulation of transcription from RNA polymerase II promoter;skeletal development;transcription;transcription corepressor activity;transcription regulator activity;Wnt receptor signaling pathway	Androgen Receptor
79706	AK097289	PRKR interacting protein 1 (IL11 inducible)			ENSG00000128563	chr7:null		Protein Kinase
8165	AKAP1	A kinase (PRKA) anchor protein 1	NM_003488	NP_003479.1	ENSG00000121057	chr17:52537824 - 52552684	integral to membrane;membrane;mitochondrion;outer membrane;RNA binding	Protein Kinase
11215	AKAP11	A kinase (PRKA) anchor protein 11	NM_016248	NP_057332.1	ENSG00000023516	chr13:41758484 - 41791364	protein binding;protein kinase A binding;protein kinase cascade;protein phosphatase 1 binding	Protein Kinase
9590	AKAP12	A kinase (PRKA) anchor protein (gravin) 12	NM_005100, NM_144497	NP_005091.2, NP_653080.1	ENSG00000131016	chr6:151603390 - 151716568	cytoplasm;G-protein coupled receptor protein signaling pathway;protein binding;protein kinase A binding;protein targeting;signal transduction	Protein Kinase,  Tumor Suppressor
11214	AKAP13	A kinase (PRKA) anchor protein 13	NM_144767, NM_007200, NM_006738	NP_658913.1, NP_009131.2, NP_006729.4	ENSG00000170776	chr15:83829955 - 84088912	diacylglycerol binding;guanyl-nucleotide exchange factor activity;intracellular;intracellular signaling cascade;membrane;membrane fraction;metal ion binding;nucleus;receptor activity;regulation of Rho protein signal transduction;Rho guanyl-nucleotide exchange factor activity;signal transducer activity;zinc ion binding	Protein Kinase,  Entrez Query:Oncogene
158798	AKAP14	A kinase (PRKA) anchor protein 14	NM_001008534, NM_178813, NM_001008535	NP_001008534.1, NP_848928.1, NP_001008535.1	ENSG00000186471	chrX:118921214 - 118938598		Protein Kinase
10566	AKAP3	A kinase (PRKA) anchor protein 3	NM_006422	NP_006413.2	ENSG00000111254	chr12:4595165 - 4617623	acrosome reaction;cell motility;microtubule-based flagellum;protein binding;protein kinase A binding;protein localization;transmembrane receptor protein serine/threonine kinase signaling pathway	Protein Kinase
8852	AKAP4	A kinase (PRKA) anchor protein 4	NM_139289	NP_647450.1	ENSG00000147081	chrX:49842342 - 49852280	cAMP-dependent protein kinase complex;cytoskeleton;microtubule-based flagellum;protein binding;protein kinase A binding;signal transduction;single fertilization;sperm motility;structural molecule activity	Protein Kinase
9495	AKAP5	A kinase (PRKA) anchor protein 5	NM_004857	NP_004848.3	ENSG00000179841	chr14:64004865 - 64006149	calmodulin binding;plasma membrane;protein binding;protein kinase A binding;protein targeting;signal transduction;synaptic transmission	Protein Kinase
9472	AKAP6	A kinase (PRKA) anchor protein 6	NM_004274	NP_004265.3	ENSG00000151320	chr14:31972450 - 32363730	nuclear envelope;protein kinase A binding;protein targeting;sarcoplasmic reticulum	Protein Kinase,  Stability
9465	AKAP7	A kinase (PRKA) anchor protein 7	NM_138633, NM_004842, NM_016377	NP_619539.1, NP_004833.1, NP_057461.1	ENSG00000118507	chr6:131508164 - 131644559	apical plasma membrane;biological_process;cytosol;intracellular signaling cascade;ion transport;lateral plasma membrane;plasma membrane;protein kinase A binding;protein localization	Protein Kinase
10270	AKAP8	A kinase (PRKA) anchor protein 8	NM_005858	NP_005849.1	ENSG00000105127	chr19:15326725 - 15351542	condensed chromosome;DNA binding;female pronucleus;intracellular;membrane;metal ion binding;mitosis;mitotic chromosome condensation;nucleus;protein kinase A binding;signal transduction;sugar porter activity;transport;zinc ion binding	TNF_alpha_NF_kB,  Protein Kinase
231	AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	NM_001628	NP_001619.1	ENSG00000085662	chr7:133778019 - 133794354	aldehyde reductase activity;carbohydrate metabolic process;electron carrier activity;extracellular space;oxidoreductase activity;protein binding;response to stress	Tumor Suppressor
57016	AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase)	NM_020299	NP_064695.3	ENSG00000198074	chr7:133863203 - 133876381	aldehyde metabolic process;aldo-keto reductase activity;cellular_component;digestion;oxidoreductase activity;steroid metabolic process	Stability,  Tumor Suppressor,  Entrez Query:Oncogene
207	AKT1	v-akt murine thymoma viral oncogene homolog 1	NM_001014431	NP_005154.2	ENSG00000142208	chr14:104307722 - 104330025	anagen;apoptosis;apoptotic mitochondrial changes;ATP binding;carbohydrate metabolic process;cytoplasm;G-protein coupled receptor protein signaling pathway;germ cell development;glucose metabolic process;glucose transport;glycogen biosynthetic process;identical protein binding;inflammatory response;insulin receptor signaling pathway;insulin-like growth factor receptor signaling pathway;lamellipodium;nitric oxide biosynthetic process;nucleotide binding;nucleus;peptidyl-serine phosphorylation;protein amino aci	Alpha6Beta4 Integrin,  Androgen Receptor,  EGFR1,  Kit Receptor,  TNF_alpha_NF_kB,  Wnt,  Hahn and Weinberg 2002,  Protein Kinase,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene
84335	AKT1S1	AKT1 substrate 1 (proline-rich)	NM_001098633	NP_115751.2	ENSG00000104951	chr19:55064985 - 55068364	cytosolic part;neuroprotection;regulation of survival gene product activity	Protein Kinase
208	AKT2	v-akt murine thymoma viral oncogene homolog 2	NM_001626	NP_001617.1	ENSG00000105221	chr19:45431618 - 45463014	ATP binding;lamellipodium;nucleotide binding;protein amino acid phosphorylation;protein binding;protein modification process;protein serine/threonine kinase activity;regulation of JNK cascade;transferase activity	TNF_alpha_NF_kB,  Futreal et al 2004,  Vogelstein and Kinzler 2004,  Protein Kinase,  Entrez Query:Oncogene,  Amplification
10000	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	NM_005465, NM_181690	NP_005456.1, NP_859029.1	ENSG00000117020	chr1:241735173 - 242073095	ATP binding;nucleotide binding;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;signal transduction;transferase activity	Protein Kinase,  Entrez Query:Oncogene
213	ALB	albumin	NM_000477	NP_000468.1	ENSG00000163631	chr4:74488908 - 74504879	antioxidant activity;carrier activity;cellular response to starvation;copper ion binding;DNA binding;drug binding;extracellular region;extracellular space;fatty acid binding;hemolysis by symbiont of host red blood cells;maintenance of mitochondrion localization;metal ion binding;negative regulation of apoptosis;negative regulation of non-apoptotic programmed cell death;oxygen binding;protein binding;protein complex;pyridoxal phosphate binding;toxin binding;transport	Stability
214	ALCAM	activated leukocyte cell adhesion molecule	NM_001627	NP_001618.2	ENSG00000170017	chr3:106568942 - 106773473	axon;cell adhesion;cell soma;external side of plasma membrane;integral to plasma membrane;membrane;membrane fraction;motor axon guidance;receptor binding;signal transduction	Tumor Suppressor
11036	ALF	-			ENSG00000068781	chr2:null	DNA binding;nucleus;regulation of transcription, DNA-dependent;RNA polymerase II transcription factor activity;transcription;transcription coactivator activity;transcription initiation factor activity;transcription initiation from RNA polymerase II promoter	Stability
199857	ALG14	asparagine-linked glycosylation 14 homolog (S. cerevisiae)	NM_144988	NP_659425.1	ENSG00000172339	chr1:95221219 - 95311042	integral to membrane;membrane	Stability
238	ALK	anaplastic lymphoma kinase (Ki-1)	NM_004304	NP_004295.2	ENSG00000171094	chr2:29269593 - 29997029	ATP binding;brain development;integral to plasma membrane;membrane;nervous system development;nucleotide binding;protein amino acid N-linked glycosylation;protein amino acid phosphorylation;receptor activity;receptor signaling protein tyrosine kinase activity;transferase activity;transmembrane receptor protein tyrosine kinase activity;transmembrane receptor protein tyrosine kinase signaling pathway	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Tyrosine Kinase,  Translocation
221120	ALKBH3	alkB, alkylation repair homolog 3 (E. coli)	NM_139178	NP_631917.1	ENSG00000166199	chr11:43860778 - 43898136	damaged DNA binding;DNA repair;iron ion binding;L-ascorbic acid binding;metal ion binding;nucleus;oxidoreductase activity;oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	Stability
246	ALOX15	arachidonate 15-lipoxygenase	NM_001140	NP_001131.3	ENSG00000161905	chr17:4481643 - 4491695	arachidonate 15-lipoxygenase activity;electron transport;inflammatory response;iron ion binding;leukotriene biosynthetic process;lipid metabolic process;lipoxygenase activity;metal ion binding;oxidoreductase activity;plasma membrane	Tumor Suppressor
240	ALOX5	arachidonate 5-lipoxygenase	NM_000698	NP_000689.1	ENSG00000012779	chr10:45189733 - 45261141	arachidonate 5-lipoxygenase activity;calcium ion binding;cytoplasm;electron transport;inflammatory response;iron ion binding;leukotriene biosynthetic process;leukotriene metabolic process;lipoxygenase activity;metal ion binding;nucleus;oxidoreductase activity;protein binding	Stability
80216	ALPK1	alpha-kinase 1	NM_025144	NP_079420.3	ENSG00000073331	chr4:113518382 - 113581815	ATP binding;kinase activity;protein amino acid phosphorylation;protein serine/threonine kinase activity;transferase activity	Protein Kinase
115701	ALPK2	alpha-kinase 2	NM_052947	NP_443179.3	ENSG00000198796	chr18:54300034 - 54430009	ATP binding;kinase activity;penicillin binding;protein amino acid phosphorylation;protein serine/threonine kinase activity;transferase activity	Protein Kinase
57538	ALPK3	alpha-kinase 3	NM_020778	NP_065829.3	ENSG00000136383	chr15:83161081 - 83212691	ATP binding;heart development;kinase activity;nucleus;protein amino acid phosphorylation;protein serine/threonine kinase activity;transferase activity	Protein Kinase
249	ALPL	alkaline phosphatase, liver/bone/kidney	NM_001127501	NP_001120973.1	ENSG00000162551	chr1:21753161 - 21776728	alkaline phosphatase activity;GPI anchor binding;hydrolase activity;integral to membrane;magnesium ion binding;membrane;metabolic process;ossification;zinc ion binding	Stability,  Tumor Suppressor
250	ALPP	alkaline phosphatase, placental (Regan isozyme)	NM_001632	NP_001623.3	ENSG00000163283	chr2:232951756 - 232954749	alkaline phosphatase activity;cell surface;GPI anchor binding;hydrolase activity;integral to membrane;magnesium ion binding;membrane;metabolic process;zinc ion binding	Stability
57679	ALS2	amyotrophic lateral sclerosis 2 (juvenile)	NM_020919	NP_065970.2	ENSG00000003393	chr2:202274818 - 202341853	behavioral fear response;centrosome;cytosol;early endosome;endosome organization and biogenesis;guanyl-nucleotide exchange factor activity;intracellular;locomotory behavior;protein binding;Rab guanyl-nucleotide exchange factor activity;Ran guanyl-nucleotide exchange factor activity;regulation of Rho protein signal transduction;response to oxidative stress;Rho guanyl-nucleotide exchange factor activity;vesicular fraction	Protein Kinase,  Stability
268	AMH	anti-Mullerian hormone	NM_000479	NP_000470.2	ENSG00000104899	chr19:2200331 - 2202956	cell-cell signaling;cytoplasm;extracellular region;extracellular space;gonadal mesoderm development;growth factor activity;hormone activity;Mullerian duct regression;sex determination;sex differentiation	Tumor Suppressor
269	AMHR2	anti-Mullerian hormone receptor, type II	NM_020547	NP_065434.1	ENSG00000135409	chr12:52103985 - 52111524	ATP binding;hormone binding;integral to membrane;magnesium ion binding;manganese ion binding;membrane;Mullerian duct regression;nucleotide binding;protein amino acid phosphorylation;protein kinase activity;protein serine/threonine kinase activity;receptor activity;sex determination;sex differentiation;signal transduction;transferase activity;transmembrane receptor protein serine/threonine kinase signaling protein activity	Protein Kinase
154796	AMOT	angiomotin	NM_001113490, NM_133265	NP_001106962.1, NP_573572.1	ENSG00000126016	chrX:111908450 - 111953010	actin cytoskeleton organization and biogenesis;actin filament;angiostatin binding;cytoplasmic vesicle;lamellipodium;positive regulation of angiogenesis;positive regulation of blood vessel endothelial cell migration;tight junction	Stability
154810	AMOTL1	angiomotin like 1	NM_130847	NP_570899.1	ENSG00000166025	chr11:94141325 - 94243608	identical protein binding;tight junction	Stability
270	AMPD1	adenosine monophosphate deaminase 1 (isoform M)	NM_000036	NP_000027.1	ENSG00000116748	chr1:115017257 - 115039615	AMP deaminase activity;hydrolase activity;nucleotide metabolic process;purine ribonucleoside monophosphate biosynthetic process	Stability
276	AMY1C	amylase, alpha 1A; salivary	NM_001008221	NP_004029.2	ENSG00000187733	chr1:104031593 - 104039784	alpha-amylase activity;calcium ion binding;carbohydrate metabolic process;chloride ion binding;digestion;extracellular space;hydrolase activity, acting on glycosyl bonds;metabolic process;protein binding	Stability
64682	ANAPC1	anaphase promoting complex subunit 1	NM_022662	NP_073153.1	ENSG00000153107	chr2:112243338 - 112354873	cell cycle;cell division;mitosis;nucleus;protein binding;regulation of progression through cell cycle;ubiquitin cycle	TGFBR,  Stability
